type_dog,rating_count,percentage_rating_count
golden_retriever,157,0.0935637663885578
Labrador_retriever,106,0.0631704410011919
Pembroke,95,0.056615017878426696
Chihuahua,91,0.054231227651966626
pug,62,0.03694874851013111
toy_poodle,50,0.029797377830750895
chow,48,0.028605482717520857
Pomeranian,42,0.025029797377830752
Samoyed,41,0.02443384982121573
malamute,33,0.01966626936829559
Chesapeake_Bay_retriever,31,0.018474374255065554
cocker_spaniel,30,0.017878426698450536
French_bulldog,30,0.017878426698450536
miniature_pinscher,25,0.014898688915375448
Eskimo_dog,22,0.013110846245530394
Cardigan,21,0.012514898688915376
German_shepherd,21,0.012514898688915376
Siberian_husky,20,0.011918951132300357
beagle,20,0.011918951132300357
Shih-Tzu,20,0.011918951132300357
Staffordshire_bullterrier,20,0.011918951132300357
Shetland_sheepdog,19,0.01132300357568534
Rottweiler,19,0.01132300357568534
Maltese_dog,19,0.01132300357568534
kuvasz,18,0.010727056019070322
Lakeland_terrier,18,0.010727056019070322
basset,17,0.010131108462455305
Italian_greyhound,17,0.010131108462455305
West_Highland_white_terrier,16,0.009535160905840286
American_Staffordshire_terrier,15,0.008939213349225268
Great_Pyrenees,15,0.008939213349225268
Old_English_sheepdog,15,0.008939213349225268
soft-coated_wheaten_terrier,15,0.008939213349225268
Pekinese,14,0.00834326579261025
vizsla,13,0.0077473182359952325
schipperke,13,0.0077473182359952325
kelpie,13,0.0077473182359952325
Boston_bull,12,0.007151370679380214
Airedale,12,0.007151370679380214
Border_collie,12,0.007151370679380214
dalmatian,12,0.007151370679380214
whippet,11,0.006555423122765197
Norwegian_elkhound,11,0.006555423122765197
standard_poodle,11,0.006555423122765197
borzoi,11,0.006555423122765197
boxer,11,0.006555423122765197
Great_Dane,11,0.006555423122765197
malinois,11,0.006555423122765197
collie,11,0.006555423122765197
Bernese_mountain_dog,11,0.006555423122765197
Yorkshire_terrier,10,0.0059594755661501785
Blenheim_spaniel,10,0.0059594755661501785
English_springer,10,0.0059594755661501785
Doberman,9,0.005363528009535161
basenji,9,0.005363528009535161
English_setter,8,0.004767580452920143
Brittany_spaniel,8,0.004767580452920143
flat-coated_retriever,8,0.004767580452920143
miniature_poodle,8,0.004767580452920143
German_short-haired_pointer,8,0.004767580452920143
Newfoundland,7,0.004171632896305125
bloodhound,7,0.004171632896305125
Saint_Bernard,7,0.004171632896305125
Border_terrier,7,0.004171632896305125
papillon,7,0.004171632896305125
Mexican_hairless,7,0.004171632896305125
Dandie_Dinmont,7,0.004171632896305125
Norfolk_terrier,7,0.004171632896305125
Bedlington_terrier,6,0.003575685339690107
redbone,6,0.003575685339690107
Irish_terrier,6,0.003575685339690107
bull_mastiff,5,0.0029797377830750892
Ibizan_hound,5,0.0029797377830750892
Walker_hound,5,0.0029797377830750892
Lhasa,5,0.0029797377830750892
miniature_schnauzer,5,0.0029797377830750892
Norwich_terrier,5,0.0029797377830750892
Welsh_springer_spaniel,4,0.0023837902264600714
Tibetan_terrier,4,0.0023837902264600714
Saluki,4,0.0023837902264600714
Rhodesian_ridgeback,4,0.0023837902264600714
Scottish_deerhound,4,0.0023837902264600714
giant_schnauzer,4,0.0023837902264600714
Weimaraner,4,0.0023837902264600714
Tibetan_mastiff,4,0.0023837902264600714
bluetick,4,0.0023837902264600714
keeshond,4,0.0023837902264600714
Gordon_setter,4,0.0023837902264600714
Irish_setter,4,0.0023837902264600714
cairn,3,0.0017878426698450535
curly-coated_retriever,3,0.0017878426698450535
Leonberg,3,0.0017878426698450535
Irish_water_spaniel,3,0.0017878426698450535
briard,3,0.0017878426698450535
komondor,3,0.0017878426698450535
toy_terrier,3,0.0017878426698450535
Afghan_hound,3,0.0017878426698450535
Brabancon_griffon,3,0.0017878426698450535
Greater_Swiss_Mountain_dog,3,0.0017878426698450535
Sussex_spaniel,2,0.0011918951132300357
wire-haired_fox_terrier,2,0.0011918951132300357
Australian_terrier,2,0.0011918951132300357
black-and-tan_coonhound,2,0.0011918951132300357
Appenzeller,2,0.0011918951132300357
groenendael,2,0.0011918951132300357
standard_schnauzer,1,0.0005959475566150178
Scotch_terrier,1,0.0005959475566150178
Irish_wolfhound,1,0.0005959475566150178
Japanese_spaniel,1,0.0005959475566150178
Bouvier_des_Flandres,1,0.0005959475566150178
clumber,1,0.0005959475566150178
silky_terrier,1,0.0005959475566150178
EntleBucher,1,0.0005959475566150178
