created_at,id,retweet_count,favorite_count
Mon Jun 12 16:06:11 +0000 2017,874296783580663808,3732,24284
Mon Jun 12 00:15:36 +0000 2017,874057562936811520,3614,21202
Sun Jun 11 21:18:31 +0000 2017,874012996292530176,9265,31929
Sat Jun 10 16:39:04 +0000 2017,873580283840344065,3572,22605
Sat Jun 10 00:35:19 +0000 2017,873337748698140672,1440,0
Fri Jun 09 16:22:42 +0000 2017,873213775632977920,1440,6679
Fri Jun 09 00:02:31 +0000 2017,872967104147763200,4916,25440
Thu Jun 08 14:20:41 +0000 2017,872820683541237760,3376,13762
Thu Jun 08 01:06:27 +0000 2017,872620804844003328,3312,19377
Wed Jun 07 16:14:40 +0000 2017,872486979161796608,8229,38093
Tue Jun 06 16:07:15 +0000 2017,872122724285648897,7362,32040
Tue Jun 06 00:01:46 +0000 2017,871879754684805121,9966,35133
Mon Jun 05 16:15:56 +0000 2017,871762521631449091,3174,18906
Sun Jun 04 23:56:03 +0000 2017,871515927908634625,3167,18890
Sun Jun 04 00:46:17 +0000 2017,871166179821445120,5208,0
Sat Jun 03 20:33:19 +0000 2017,871102520638267392,5016,19592
Sat Jun 03 15:55:36 +0000 2017,871032628920680449,3478,21300
Sat Jun 03 00:48:22 +0000 2017,870804317367881728,5654,31533
Fri Jun 02 19:38:25 +0000 2017,870726314365509632,3,114
Fri Jun 02 15:00:16 +0000 2017,870656317836468226,2400,11562
Thu Jun 01 20:18:38 +0000 2017,870374049280663552,24252,77891
Thu Jun 01 16:00:09 +0000 2017,870308999962521604,3792,20542
Wed May 31 23:43:25 +0000 2017,870063196459192321,7597,34245
Wed May 31 04:27:59 +0000 2017,869772420881756160,9285,39993
Tue May 30 23:51:58 +0000 2017,869702957897576449,5768,26494
Tue May 30 16:49:31 +0000 2017,869596645499047938,2856,14989
Mon May 29 16:24:37 +0000 2017,869227993411051520,3453,19180
Sun May 28 17:23:24 +0000 2017,868880397819494401,13223,61447
Sun May 28 01:26:04 +0000 2017,868639477480148993,1900,0
Sun May 28 00:18:35 +0000 2017,868622495443632128,4852,25068
Sat May 27 19:39:34 +0000 2017,868552278524837888,1900,9473
Fri May 26 00:29:37 +0000 2017,867900495410671616,3841,22806
Thu May 25 16:10:44 +0000 2017,867774946302451713,6750,31975
Wed May 24 16:44:18 +0000 2017,867421006826221569,2292,15150
Tue May 23 17:40:04 +0000 2017,867072653475098625,110,0
Tue May 23 16:16:06 +0000 2017,867051520902168576,7261,30361
Mon May 22 18:21:28 +0000 2017,866720684873056260,4419,18858
Mon May 22 16:06:55 +0000 2017,866686824827068416,3210,18158
Mon May 22 00:28:40 +0000 2017,866450705531457537,32503,115279
Sun May 21 16:48:45 +0000 2017,866334964761202691,13151,49371
Sun May 21 00:53:21 +0000 2017,866094527597207552,7732,0
Fri May 19 23:57:46 +0000 2017,865718153858494464,5193,24230
Fri May 19 00:12:11 +0000 2017,865359393868664832,4630,24982
Thu May 18 00:50:50 +0000 2017,865006731092295680,7126,26475
Wed May 17 16:00:15 +0000 2017,864873206498414592,8032,30488
Tue May 16 00:41:21 +0000 2017,864279568663928832,2795,13790
Mon May 15 19:14:50 +0000 2017,864197398364647424,8188,28316
Mon May 15 00:02:33 +0000 2017,863907417377173506,3837,19484
Sun May 14 00:34:33 +0000 2017,863553081350529029,3885,14446
Sat May 13 19:11:30 +0000 2017,863471782782697472,2253,0
Sat May 13 16:33:49 +0000 2017,863432100342583297,4863,22516
Sat May 13 16:15:35 +0000 2017,863427515083354112,89,2090
Fri May 12 17:12:53 +0000 2017,863079547188785154,1031,8317
Fri May 12 16:05:02 +0000 2017,863062471531167744,2253,7999
Fri May 12 00:46:44 +0000 2017,862831371563274240,4786,18183
Thu May 11 17:34:13 +0000 2017,862722525377298433,3291,16210
Thu May 11 00:01:27 +0000 2017,862457590147678208,4586,19362
Wed May 10 00:08:34 +0000 2017,862096992088072192,21547,70351
Mon May 08 00:54:59 +0000 2017,861383897657036800,9975,34216
Sun May 07 18:36:02 +0000 2017,861288531465048066,3853,16290
Sat May 06 23:49:50 +0000 2017,861005113778896900,3557,15851
Sat May 06 22:16:42 +0000 2017,860981674716409858,2002,0
Sat May 06 18:27:40 +0000 2017,860924035999428608,742,0
Fri May 05 18:36:06 +0000 2017,860563773140209665,2002,7116
Fri May 05 16:00:04 +0000 2017,860524505164394496,4961,22491
Thu May 04 23:34:55 +0000 2017,860276583193509888,3281,17472
Thu May 04 17:30:24 +0000 2017,860184849394610176,5466,15843
Thu May 04 17:01:34 +0000 2017,860177593139703809,28921,0
Thu May 04 00:15:58 +0000 2017,859924526012018688,3843,18657
Wed May 03 19:26:06 +0000 2017,859851578198683649,3289,14702
Wed May 03 03:17:27 +0000 2017,859607811541651456,1462,17756
Tue May 02 00:04:57 +0000 2017,859196978902773760,28267,85620
Mon May 01 15:58:40 +0000 2017,859074603037188101,12785,32226
Mon May 01 01:47:28 +0000 2017,858860390427611136,7620,0
Mon May 01 00:40:27 +0000 2017,858843525470990336,3265,14879
Sun Apr 30 00:02:42 +0000 2017,858471635011153920,4572,20545
Fri Apr 28 23:57:28 +0000 2017,858107933456039936,2721,15055
Fri Apr 28 16:08:49 +0000 2017,857989990357356544,2445,15368
Fri Apr 28 00:00:54 +0000 2017,857746408056729600,10020,32746
Thu Apr 27 00:38:11 +0000 2017,857393404942143489,1549,5631
Wed Apr 26 16:00:39 +0000 2017,857263160327368704,4267,19202
Wed Apr 26 12:48:51 +0000 2017,857214891891077121,17,214
Wed Apr 26 02:41:43 +0000 2017,857062103051644929,158,0
Wed Apr 26 00:33:27 +0000 2017,857029823797047296,3757,18053
Mon Apr 24 16:22:16 +0000 2017,856543823941562368,2725,15659
Mon Apr 24 15:13:52 +0000 2017,856526610513747968,1779,11384
Mon Apr 24 02:15:55 +0000 2017,856330835276025856,633,0
Sun Apr 23 23:26:03 +0000 2017,856288084350160898,15,493
Sun Apr 23 23:01:59 +0000 2017,856282028240666624,5960,26639
Sat Apr 22 19:15:32 +0000 2017,855862651834028034,24,324
Sat Apr 22 19:05:32 +0000 2017,855860136149123072,930,4718
Sat Apr 22 18:55:51 +0000 2017,855857698524602368,1996,11421
Sat Apr 22 18:31:02 +0000 2017,855851453814013952,17162,44060
Sat Apr 22 16:18:34 +0000 2017,855818117272018944,5156,25651
Fri Apr 21 16:33:22 +0000 2017,855459453768019968,7827,28668
Fri Apr 21 02:22:29 +0000 2017,855245323840757760,5665,0
Thu Apr 20 19:16:59 +0000 2017,855138241867124737,43,0
Wed Apr 19 16:25:34 +0000 2017,854732716440526848,5778,21929
Tue Apr 18 23:50:52 +0000 2017,854482394044301312,6529,28213
Tue Apr 18 16:05:17 +0000 2017,854365224396361728,4482,18227
Mon Apr 17 23:52:16 +0000 2017,854120357044912130,7129,30893
Mon Apr 17 16:34:26 +0000 2017,854010172552949760,3012,15698
Mon Apr 17 00:03:50 +0000 2017,853760880890318849,5497,27642
Sun Apr 16 16:00:07 +0000 2017,853639147608842240,9595,33505
Sat Apr 15 17:32:18 +0000 2017,853299958564483072,3418,14996
Fri Apr 14 17:27:40 +0000 2017,852936405516943360,1910,0
Fri Apr 14 15:51:39 +0000 2017,852912242202992640,1737,8741
Thu Apr 13 23:59:28 +0000 2017,852672615818899456,2072,14459
Thu Apr 13 16:05:56 +0000 2017,852553447878664193,3332,15808
Thu Apr 13 00:03:59 +0000 2017,852311364735569921,9552,32158
Wed Apr 12 18:25:07 +0000 2017,852226086759018497,6584,19423
Wed Apr 12 16:00:27 +0000 2017,852189679701164033,1531,11137
Tue Apr 11 18:15:55 +0000 2017,851861385021730816,19,0
Tue Apr 11 00:24:08 +0000 2017,851591660324737024,3335,15826
Mon Apr 10 16:00:07 +0000 2017,851464819735769094,6808,23605
Mon Apr 10 00:06:42 +0000 2017,851224888060895234,5539,20151
Sat Apr 08 16:54:09 +0000 2017,850753642995093505,8783,29983
Fri Apr 07 16:10:12 +0000 2017,850380195714523136,2516,12768
Fri Apr 07 13:04:55 +0000 2017,850333567704068097,315,3379
Fri Apr 07 00:38:06 +0000 2017,850145622816686080,3667,15928
Thu Apr 06 16:18:05 +0000 2017,850019790995546112,4705,19901
Thu Apr 06 00:13:11 +0000 2017,849776966551130114,7327,29651
Wed Apr 05 17:00:34 +0000 2017,849668094696017920,4787,0
Wed Apr 05 00:04:08 +0000 2017,849412302885593088,3054,15495
Tue Apr 04 19:03:06 +0000 2017,849336543269576704,1840,11156
Tue Apr 04 00:12:06 +0000 2017,849051919805034497,8210,41342
Mon Apr 03 00:16:10 +0000 2017,848690551926992896,4193,24611
Sun Apr 02 00:03:26 +0000 2017,848324959059550208,4486,24158
Sat Apr 01 16:41:12 +0000 2017,848213670039564288,704,7998
Sat Apr 01 16:35:01 +0000 2017,848212111729840128,2939,15967
Sat Apr 01 01:08:10 +0000 2017,847978865427394560,3158,0
Sat Apr 01 00:39:12 +0000 2017,847971574464610304,420,0
Sat Apr 01 00:04:17 +0000 2017,847962785489326080,4916,23031
Fri Mar 31 16:07:33 +0000 2017,847842811428974592,1286,5324
Fri Mar 31 01:11:22 +0000 2017,847617282490613760,402,6840
Fri Mar 31 00:27:14 +0000 2017,847606175596138505,3335,18395
Thu Mar 30 00:56:03 +0000 2017,847251039262605312,4202,20090
Wed Mar 29 18:43:12 +0000 2017,847157206088847362,5708,19502
Wed Mar 29 16:00:12 +0000 2017,847116187444137987,3096,21053
Wed Mar 29 00:01:05 +0000 2017,846874817362120707,3819,19701
Tue Mar 28 00:07:32 +0000 2017,846514051647705089,11218,43710
Mon Mar 27 23:35:28 +0000 2017,846505985330044928,2987,13834
Mon Mar 27 00:15:53 +0000 2017,846153765933735936,8793,30979
Sun Mar 26 23:20:02 +0000 2017,846139713627017216,9779,30479
Sun Mar 26 16:55:29 +0000 2017,846042936437604353,2786,15685
Sun Mar 26 01:38:00 +0000 2017,845812042753855489,8456,28667
Sat Mar 25 16:45:08 +0000 2017,845677943972139009,4680,24752
Fri Mar 24 22:08:59 +0000 2017,845397057150107648,1753,7490
Fri Mar 24 16:10:40 +0000 2017,845306882940190720,5259,22934
Fri Mar 24 02:22:04 +0000 2017,845098359547420673,7464,0
Thu Mar 23 18:29:57 +0000 2017,844979544864018432,2488,13415
Thu Mar 23 18:07:10 +0000 2017,844973813909606400,3099,14819
Wed Mar 22 16:04:20 +0000 2017,844580511645339650,3043,16206
Tue Mar 21 16:26:50 +0000 2017,844223788422217728,2146,13450
Tue Mar 21 00:22:10 +0000 2017,843981021012017153,2886,14949
Mon Mar 20 16:08:44 +0000 2017,843856843873095681,4517,21124
Sun Mar 19 23:25:35 +0000 2017,843604394117681152,2683,16620
Sat Mar 18 22:59:54 +0000 2017,843235543001513987,5889,21197
Fri Mar 17 21:13:10 +0000 2017,842846295480000512,3557,15069
Fri Mar 17 15:51:22 +0000 2017,842765311967449089,1247,6637
Fri Mar 17 00:38:32 +0000 2017,842535590457499648,3435,17854
Thu Mar 16 00:00:07 +0000 2017,842163532590374912,5665,24085
Wed Mar 15 20:48:07 +0000 2017,842115215311396866,2973,13796
Wed Mar 15 02:10:39 +0000 2017,841833993020538882,14742,0
Tue Mar 14 16:01:03 +0000 2017,841680585030541313,7659,25407
Tue Mar 14 00:04:30 +0000 2017,841439858740625411,3603,12482
Mon Mar 13 16:08:50 +0000 2017,841320156043304961,5397,19557
Mon Mar 13 15:47:01 +0000 2017,841314665196081154,4549,15657
Mon Mar 13 00:02:39 +0000 2017,841077006473256960,5208,22567
Sun Mar 12 03:07:56 +0000 2017,840761248237133825,1733,0
Sun Mar 12 00:59:17 +0000 2017,840728873075638272,15787,0
Sat Mar 11 22:59:09 +0000 2017,840698636975636481,2,173
Sat Mar 11 22:51:24 +0000 2017,840696689258311684,954,12140
Sat Mar 11 18:35:42 +0000 2017,840632337062862849,1733,8889
Sat Mar 11 01:15:58 +0000 2017,840370681858686976,4473,16250
Fri Mar 10 18:27:58 +0000 2017,840268004936019968,5619,19045
Fri Mar 10 00:04:21 +0000 2017,839990271299457024,2236,13273
Wed Mar 08 18:52:12 +0000 2017,839549326359670784,7620,27156
Wed Mar 08 01:44:07 +0000 2017,839290600511926273,140,0
Tue Mar 07 22:22:32 +0000 2017,839239871831150596,6425,26826
Tue Mar 07 03:22:35 +0000 2017,838952994649550848,3926,19446
Tue Mar 07 01:17:48 +0000 2017,838921590096166913,2019,11021
Tue Mar 07 00:57:32 +0000 2017,838916489579200512,34,0
Mon Mar 06 19:21:35 +0000 2017,838831947270979586,10826,0
Mon Mar 06 01:26:54 +0000 2017,838561493054533637,1314,10846
Sun Mar 05 19:48:43 +0000 2017,838476387338051585,4697,22257
Sun Mar 05 01:36:26 +0000 2017,838201503651401729,9881,0
Sat Mar 04 22:12:52 +0000 2017,838150277551247360,325,1655
Sat Mar 04 17:56:49 +0000 2017,838085839343206401,1,139
Sat Mar 04 17:49:08 +0000 2017,838083903487373313,3083,17443
Sat Mar 04 00:21:08 +0000 2017,837820167694528512,7732,33741
Fri Mar 03 01:58:22 +0000 2017,837482249356513284,437,3824
Fri Mar 03 01:14:41 +0000 2017,837471256429613056,2239,12661
Thu Mar 02 01:20:01 +0000 2017,837110210464448512,2333,15912
Wed Mar 01 17:22:13 +0000 2017,836989968035819520,2269,12645
Wed Mar 01 01:42:39 +0000 2017,836753516572119041,4582,19177
Tue Feb 28 20:41:37 +0000 2017,836677758902222849,2198,12518
Tue Feb 28 18:46:45 +0000 2017,836648853927522308,550,0
Tue Feb 28 02:09:08 +0000 2017,836397794269200385,27130,0
Tue Feb 28 01:00:19 +0000 2017,836380477523124226,2953,14652
